"","channel_name","total_conversions"
"1","direct",17221.1419533578
"2","email",14567.2334368249
"3","pla",14710.9756739139
"4","non-branded-paid-search",3826.07867795463
"5","organic",16570.959619491
"6","affiliate",10545.5702475022
"7","display-media",11122.0246478432
"8","branded-paid-search",4309.840874427
"9","shopping-search",21.1924483203864
"10","social-media",1025.06089983327
"11","domains",414.292558637087
"12","not-classified",78.1842894810518
"13","vendor-links",242.871399559569
"14","other",37.4829050900293
"15","app",91.4543272143779
"16","general-referring-domains",0.693210926367781
"17","prospecting",7.57580512387646
"18","domain",2.67381357313287
"19","video",0.0990301323382544
"20","odat-ads",0.594180794029526
