"","channel_from","(conversion)","(null)","affiliate","app","branded-paid-search","direct","display-media","domain","domains","email","general-referring-domains","non-branded-paid-search","not-classified","odat-ads","organic","other","pla","prospecting","shopping-search","social-media","vendor-links","video"
"1","(start)",NA,NA,0.0899981173212518,0.000352243120631123,0.0333659259439205,0.238954445247451,0.0811009419466898,1.82194717567822e-05,0.00236853132838169,0.157653089111436,6.07315725226073e-06,0.0275660607680115,0.000352243120631123,6.07315725226073e-06,0.191425916591258,0.000255072604594951,0.168366138504424,3.64389435135644e-05,0.000261145761847212,0.00546584152703466,0.00244748237266108,NA
"2","affiliate",0.0989151165382805,0.0585663686126867,NA,0.000260074802466995,0.0176107794813365,0.190907289525178,0.0909890273202388,NA,0.00214252099175191,0.151425457607807,4.9538057612761e-05,0.0204096797364575,0.000408688975305278,3.71535432095708e-05,0.211168355088797,0.000198152230451044,0.148279790949397,8.66916008223318e-05,7.43070864191415e-05,0.0069848661233993,0.00148614172838283,NA
"3","app",0.0670391061452514,0.0465549348230912,0.0484171322160149,NA,0.0260707635009311,0.430167597765363,0.0875232774674116,NA,NA,0.113594040968343,NA,0.0037243947858473,0.0037243947858473,NA,0.0968342644320298,NA,0.074487895716946,0.00186219739292365,NA,NA,NA,NA
"4","branded-paid-search",0.143332451132368,0.0744829672199327,0.0500586033498431,0.000415894740821959,NA,0.16325759007902,0.108057015388105,NA,0.00170138757608983,0.138152671178494,NA,0.0379976558660063,0.000604937804831941,NA,0.166925025520814,3.78086128019963e-05,0.111384173314681,NA,0.000113425838405989,0.00245755983212976,0.0010208325456539,NA
"5","direct",0.179997859159452,0.138325059876634,0.0959029664021837,0.00155879952366298,0.0261182546797436,NA,0.0864163667259858,NA,0.00307745828705996,0.165379932295918,NA,0.0177622864177048,0.000227464308173997,NA,0.163346133775774,0.000140492660930998,0.114909616388134,NA,0.000133802534219998,0.00511794693391493,0.00158556003050698,NA
"6","display-media",0.0796373703924868,0.0664241897833994,0.0780630801802291,0.000466858476738505,0.0316703762010749,0.145388415395473,NA,NA,0.00337658107594593,0.206688019108626,NA,0.0246240703544867,0.000423429781227946,NA,0.178003365723902,0.000206286303675153,0.168101623147495,0.000173714782042234,9.77145648987568e-05,0.0158297595135986,0.000825145214700613,NA
"7","domain",0.153846153846154,NA,0.153846153846154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.307692307692308,NA,0.384615384615385,NA,NA,NA,NA,NA
"8","domains",0.101651842439644,0.0631088521812791,0.0656501482422702,0.000423549343498518,0.0165184243964422,0.195256247352817,0.138500635324015,NA,NA,0.128335451080051,NA,0.0160948750529437,NA,NA,0.15417196103346,NA,0.111817026683609,NA,NA,0.00762388818297332,0.000847098686997035,NA
"9","email",0.10932228196398,0.0921366836648231,0.088824354095734,0.000500700981373924,0.0288095641590534,0.197075906268776,0.148084241014343,1.54061840422746e-05,0.00240336471059483,NA,NA,0.0200588516230415,0.000770309202113728,NA,0.181099693416938,0.000184874208507295,0.124089109368501,1.54061840422746e-05,0.000115546380317059,0.00543067987490179,0.00106302669891695,NA
"10","general-referring-domains",NA,NA,0.333333333333333,NA,NA,0.166666666666667,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,NA,0.333333333333333,NA,NA,NA,NA,NA
